salary,"height, cm","weight, kg",game_started,mins,sub_on,total_wins,goals,duel_won,accurate_cross,assist,yellow_card,won_tackle,aerial_won,ontarget_scoring_att,successful_short_pass,won_corners,ball_recovery,total_offside
199600,180,68,9,968,12,7,4,55,1,2,3,11,5,10,172,9,49,2
157000,193,82,9,754,9,6,0,42,1,0,2,4,30,0,261,1,44,3
475000,188,86,33,2970,0,12,0,91,4,2,0,12,65,2,1199,7,121,0
335000,178,79,18,1701,11,10,0,60,3,1,4,16,26,2,517,6,82,1
510000,169,68,19,1758,8,8,0,102,8,2,2,31,18,5,737,15,126,1
140000,175,66,1,95,3,0,0,8,1,0,0,3,0,1,21,2,4,0
687500,179,76,30,2561,2,13,4,200,18,6,5,49,17,22,772,24,168,1
678750,178,70,32,2797,0,12,0,183,23,7,8,54,34,1,1168,27,205,1
667500,180,77,23,2013,2,12,0,124,0,4,7,20,51,4,1066,1,193,1
372500,175,65,22,1945,3,5,0,128,10,2,1,41,21,2,561,22,113,1
156375,170,69,9,1001,13,6,1,72,5,0,3,13,14,6,350,3,64,0
582500,174,72,11,893,10,14,1,50,1,2,4,12,8,2,351,6,64,0
244800,173,73,15,1350,9,10,0,78,0,0,6,26,11,2,650,3,123,0
84000,179,72,13,1167,9,6,1,45,7,4,5,9,4,8,250,12,58,13
89513,183,77,10,869,7,6,0,74,6,2,0,8,16,10,198,15,60,3
350000,176,80,21,1995,7,7,0,103,15,3,4,26,27,4,634,13,112,1
414322,166,64,14,1204,10,10,2,68,10,3,4,9,4,9,330,12,81,0
354750,187,79,29,2454,0,15,2,105,0,2,8,26,55,4,999,1,123,2
1926250,173,72,28,2505,3,11,16,141,44,12,6,17,7,43,745,33,122,13
175000,178,77,21,1849,8,11,1,86,12,5,4,14,6,9,427,23,90,16
300000,180,84,24,2097,8,16,0,153,3,2,7,50,34,6,713,11,162,2
155378,179,74,0,29,6,3,0,3,1,0,0,0,0,0,11,0,4,0
4141667,172,74,18,1641,6,10,12,46,0,1,0,1,12,21,331,7,33,16
136842,171,70,4,421,7,2,0,26,3,1,1,9,2,2,184,6,28,2
65500,188,79,4,426,5,0,0,21,0,1,0,4,5,1,69,1,13,4
726250,176,67,27,2372,3,6,3,111,9,2,6,29,20,8,1239,6,174,3
308333,191,86,1,90,0,0,0,1,0,0,0,0,1,0,14,0,12,0
133909,185,78,21,1854,1,8,0,67,2,3,5,19,14,0,1024,2,149,0
458216,193,94,29,2610,0,13,0,14,0,0,1,0,6,0,513,0,253,0
444167,188,80,12,1137,17,17,3,74,1,0,2,7,28,12,297,15,69,4
582937,178,82,25,2238,9,14,8,103,1,5,0,0,31,26,366,19,46,12
